Year,Institution_name,Institution code,Language,Province Name,Column name,Value,,,,,,,,,,
2022-2023,Université de Moncton,334,French, New Brunswick,02. Special Purpose and Trust,26219,,,,,,,,,,
2022-2023,Université de Moncton,334,French, New Brunswick,01. General operating,128620,,,,,,,,,,
2022-2023,Université TÉLUQ,492,French, Quebec,Total funds,67905,,,,,,,,,,
2022-2023,Université TÉLUQ,492,French, Quebec,08. Endowment,0,,,,,,,,,,
2022-2023,Université TÉLUQ,492,French, Quebec,07. Capital,1987,,,,,,,,,,
2022-2023,Université TÉLUQ,492,French, Quebec,06. Ancillary,4,,,,,,,,,,
2022-2023,Université TÉLUQ,492,French, Quebec,04. Sponsored Research - Entities Not Consolidated,0,,,,,,,,,,
2022-2023,Université TÉLUQ,492,French, Quebec,03. Sponsored Research - Entities Consolidated,6215,,,,,,,,,,
2022-2023,Université TÉLUQ,492,French, Quebec,02. Special Purpose and Trust,0,,,,,,,,,,
2022-2023,Université TÉLUQ,492,French, Quebec,01. General operating,59699,,,,,,,,,,
2022-2023,Université Sainte-Anne,272,French, Nova Scotia,Total funds,25741,,,,,,,,,,
2022-2023,Université Sainte-Anne,272,French, Nova Scotia,08. Endowment,0,,,,,,,,,,
2022-2023,Université Sainte-Anne,272,French, Nova Scotia,07. Capital,0,,,,,,,,,,
2022-2023,Université Sainte-Anne,272,French, Nova Scotia,06. Ancillary,2262,,,,,,,,,,
2022-2023,Université Sainte-Anne,272,French, Nova Scotia,04. Sponsored Research - Entities Not Consolidated,0,,,,,,,,,,
2022-2023,Université Sainte-Anne,272,French, Nova Scotia,03. Sponsored Research - Entities Consolidated,1684,,,,,,,,,,
2022-2023,Université Sainte-Anne,272,French, Nova Scotia,02. Special Purpose and Trust,0,,,,,,,,,,
2022-2023,Université Sainte-Anne,272,French, Nova Scotia,01. General operating,21795,,,,,,,,,,
2022-2023,Université Saint-Paul / Saint Paul,571,French, Ontario,Total funds,29009,,,,,,,,,,
2022-2023,Université Saint-Paul / Saint Paul,571,French, Ontario,08. Endowment,0,,,,,,,,,,
2022-2023,Université Saint-Paul / Saint Paul,571,French, Ontario,07. Capital,2897,,,,,,,,,,
2022-2023,Université Saint-Paul / Saint Paul,571,French, Ontario,06. Ancillary,1577,,,,,,,,,,
2022-2023,Université Saint-Paul / Saint Paul,571,French, Ontario,04. Sponsored Research - Entities Not Consolidated,0,,,,,,,,,,
2022-2023,Université Saint-Paul / Saint Paul,571,French, Ontario,03. Sponsored Research - Entities Consolidated,0,,,,,,,,,,
2022-2023,Université Saint-Paul / Saint Paul,571,French, Ontario,02. Special Purpose and Trust,86,,,,,,,,,,
2022-2023,Université Saint-Paul / Saint Paul,571,French, Ontario,01. General operating,24449,,,,,,,,,,
2022-2023,Université Laval,446,French, Quebec,Total funds,1252245,,,,,,,,,,
2022-2023,Université Laval,446,French, Quebec,08. Endowment,0,,,,,,,,,,
2022-2023,Université Laval,446,French, Quebec,07. Capital,88169,,,,,,,,,,
2022-2023,Université Laval,446,French, Quebec,06. Ancillary,11782,,,,,,,,,,
2022-2023,Université Laval,446,French, Quebec,04. Sponsored Research - Entities Not Consolidated,133347,,,,,,,,,,
2022-2023,Université Laval,446,French, Quebec,03. Sponsored Research - Entities Consolidated,336424,,,,,,,,,,
2022-2023,Université Laval,446,French, Quebec,02. Special Purpose and Trust,17698,,,,,,,,,,
2022-2023,Université Laval,446,French, Quebec,01. General operating,664825,,,,,,,,,,
2022-2023,University of the Fraser Valley,982,English, British Columbia,Total funds,171810,,,,,,,,,,
2022-2023,University of the Fraser Valley,982,English, British Columbia,08. Endowment,0,,,,,,,,,,
2022-2023,University of the Fraser Valley,982,English, British Columbia,07. Capital,22086,,,,,,,,,,
2022-2023,University of the Fraser Valley,982,English, British Columbia,06. Ancillary,4455,,,,,,,,,,
2022-2023,University of the Fraser Valley,982,English, British Columbia,04. Sponsored Research - Entities Not Consolidated,0,,,,,,,,,,
2022-2023,University of the Fraser Valley,982,English, British Columbia,03. Sponsored Research - Entities Consolidated,3763,,,,,,,,,,
2022-2023,University of the Fraser Valley,982,English, British Columbia,02. Special Purpose and Trust,2511,,,,,,,,,,
2022-2023,University of the Fraser Valley,982,English, British Columbia,01. General operating,138995,,,,,,,,,,
2022-2023,University of Windsor,596,English, Ontario,Total funds,429188,,,,,,,,,,
2022-2023,University of Windsor,596,English, Ontario,08. Endowment,0,,,,,,,,,,
2022-2023,University of Windsor,596,English, Ontario,07. Capital,26977,,,,,,,,,,
2022-2023,University of Windsor,596,English, Ontario,06. Ancillary,13169,,,,,,,,,,
2022-2023,University of Windsor,596,English, Ontario,04. Sponsored Research - Entities Not Consolidated,0,,,,,,,,,,
2022-2023,University of Windsor,596,English, Ontario,03. Sponsored Research - Entities Consolidated,28120,,,,,,,,,,
2022-2023,University of Windsor,596,English, Ontario,02. Special Purpose and Trust,11711,,,,,,,,,,
2022-2023,University of Windsor,596,English, Ontario,01. General operating,349211,,,,,,,,,,
2022-2023,University of Waterloo,590,English, Ontario,Total funds,1204729,,,,,,,,,,
2022-2023,University of Waterloo,590,English, Ontario,08. Endowment,0,,,,,,,,,,
2022-2023,University of Waterloo,590,English, Ontario,07. Capital,21669,,,,,,,,,,
2022-2023,University of Waterloo,590,English, Ontario,06. Ancillary,76902,,,,,,,,,,
2022-2023,University of Waterloo,590,English, Ontario,04. Sponsored Research - Entities Not Consolidated,0,,,,,,,,,,
2022-2023,University of Waterloo,590,English, Ontario,03. Sponsored Research - Entities Consolidated,204410,,,,,,,,,,
2022-2023,University of Waterloo,590,English, Ontario,02. Special Purpose and Trust,29322,,,,,,,,,,
2022-2023,University of Waterloo,590,English, Ontario,01. General operating,872426,,,,,,,,,,
2022-2023,University of Victoria,986,English, British Columbia,Total funds,756879,,,,,,,,,,
2022-2023,University of Victoria,986,English, British Columbia,08. Endowment,0,,,,,,,,,,
2022-2023,University of Victoria,986,English, British Columbia,07. Capital,87819,,,,,,,,,,
2022-2023,University of Victoria,986,English, British Columbia,06. Ancillary,48297,,,,,,,,,,
2022-2023,University of Victoria,986,English, British Columbia,04. Sponsored Research - Entities Not Consolidated,0,,,,,,,,,,
2022-2023,University of Victoria,986,English, British Columbia,03. Sponsored Research - Entities Consolidated,132846,,,,,,,,,,
2022-2023,University of Victoria,986,English, British Columbia,02. Special Purpose and Trust,36957,,,,,,,,,,
2022-2023,University of Victoria,986,English, British Columbia,01. General operating,450960,,,,,,,,,,
2022-2023,University of Trinity College,585,English, Ontario,Total funds,24140,,,,,,,,,,
2022-2023,University of Trinity College,585,English, Ontario,08. Endowment,0,,,,,,,,,,
2022-2023,University of Trinity College,585,English, Ontario,07. Capital,515,,,,,,,,,,
2022-2023,University of Trinity College,585,English, Ontario,06. Ancillary,8569,,,,,,,,,,
2022-2023,University of Trinity College,585,English, Ontario,04. Sponsored Research - Entities Not Consolidated,0,,,,,,,,,,
2022-2023,University of Trinity College,585,English, Ontario,03. Sponsored Research - Entities Consolidated,0,,,,,,,,,,
2022-2023,University of Trinity College,585,English, Ontario,02. Special Purpose and Trust,1979,,,,,,,,,,
